sentence,complete_sentence
how many episodes is the 2nd season of vampire diaries,1
How many legal immigrants are allowed into the US,1
what does alkali do to liquids?,1
What killed Frank Sinatra?,1
how do you get a michelin star?,1
what does gloria in excelsis deo mean,1
what does infinity mean in electricity,0
what does alfalfa do for animals,1
what happened to  Solara in the book of eli?,1
what benefit does the pinna have?,1
what did margot frank do for fun,1
how much of our universe does plasma make up,1
how many days are in a leap year,1
What influence did Henry Ford's Model T have on manufacturing?,1
what county is bethlehem pa in,1
how much population is a us urban city,0
how was the toreador fresco completed,1
how many numbers on a credit card,1
how many great white sharks left in the ocean,1
how did John F. Kennedy die?,0
how many members are in the house of representatives,1
how many wiccans in us,0
what does uncle sam represent to the american people,1
how do insulin syringes work,1
how did david carradine die,1
what causes a small bowel obstruction,1
how do ground squirrels defend it's self,1
how much did k.richards make from his autobiography life ?,1
how speaker of the house is chosen,1
how was the president involved in the gulf war,1
how does a triplexer work?,1
what did deputies in the old western times do?,1
how many megapixels in the asus eee?,0
how fast does the polar jets,0
how many amendments in us,0
how many players on a side for a football game,1
how many employees does Chase have,1
how long to take iwo jima,0
what creates a cloud,1
how lucie resembles dickens ideal woman,1
how many mvps has kobe bryant won,1
how much does the ground sink under a load or rise after removal of a load during isostatic adjustments,1
how many members in a team debate?,1
how many ribs does adam have,0
what did Harry truman say after the republicans took the house.,1
what can a guinea pig do for a human,1
how did the ancient egypt system of mummification create order and balance in their culture,1
how much did yankee stadium cost,1
what does disaronno mean,1
What car was used in Ferris Bueller's day off,1
"what did ruben conclude photosynthesis ""Ruben""",0
how has caribbean society and culture been shaped by colonial experiences?,1
what cause the huge demand for cotton after the american revolution,1
how many countries are in north America,1
how the west was won movie,0
how kimberlite pipes form,1
how do people physically adjust to old age,1
what blood type is universal donor,1
how many square miles in great britain,0
how much calcium is in salt water,1
how is seville,0
what county is coatesville indiana located in,1
what embryonic tissue does connective tissue arise from?,1
what events are in the month april,1
how many chinese fought in korean war,1
what does continuous improvement mean,1
What building in NYC did Frank LLoyd Wright Design,1
who did cy young play for,1
WHAT IS A FY QUARTER,1
who wrote a rose is a rose is a rose,1
who played the lead roles in the movie leaving las vegas,1
where did stereotypes originate?,1
what types of plate boundaries exist,1
what south american country is a colony,0
what type of ice forms mars polar caps,1
when does harley release new year models,0
where does a flea live,1
what is a group of deer called,1
what state was john mccain a senator in during the 2008 election,1
what are some future disney shows; what are they about 2011,0
What are some species related to the mud wasp,1
Who created the Bahamas Coat of Arms,1
who played tracy's dad in hairspray,1
who owns disney,1
what part of biodiesel comes from sunflowers,1
What are the challenges that foreign firms face in majority Muslim country?,1
who fought for the falcons island,0
where do crocodiles live,1
what relates to erosion,1
where in oregon is albany,1
what year did isaac newton die,1
what people lobbied for prohibition,1
where fourth of july came from,1
what are layers of the ionosphere,1
what is a newsgroup message,1
what are the functions of glutamine?,1
when did silicone boobs happen,0
what are some legal uses of meth,1
Where does the word baptism come from,1
what order is the moth,0
what is african in americas,0
what part of the earth's structure is believed to consist of tectonic plates,1
who said the dose makes the poison,1
what is a letterbox movie,1
what is a popular people meter,1
when to use semicolon,1
what the romans did for england wikipedia,1
what is a blu-ray dvd combo disc,1
what are the songs in kuch kuch hota hai,1
WHAT ARE HERITABLE TRAITS,1
when do you use union symbol,1
who invaded north africa during ww2,1
who played barney's half sister in how i met your mother,1
what are the parts of plant stems?,1
what type of neuron is the majority in the body,0
when did spongebob first air,1
what type of business is walmart,1
what is a certificate of occupancy on a hotel for?,1
when did qing dynasty begin,1
who owns youtube,1
when did texas become a state,1
who made the matrix,1
what are some six sigma tools used,1
what are alveolar walls composed of?,1
who created massey ferguson,1
where do the mohawks live,1
what percent of school shootings commit suicide?,0
when did proof die,0
what year did fiji become a island,0
when did ww1 end?,1
who invented the wheelbarrow,1
what are some endangered species in North America,1
what year did mexico gain independence from spain,1
what are the root chords for first position?,0
when to use ounces,0
what is a duvet cover used for,1
what is a functionalist theories,0
"what is a business that is not for profit, not for charity, but for service?",1
where does angela davis currently work,1
what products enzymes that are added to small intestine,1
who wrote west side story,1
who signed NAFTA for the US,1
when did paul revere make his right,0
who wrote the song the end by pearl jam,1
"who founded bellefontaine, ohio",1
who has brad pitt dated,1
what year was President kennedy president?,0
who owns fox news,1
what is a monarch to a monarchy,1
What time does per diem start,1
who originally wrote the robin hood tales,1
when did john glenn die,1
where to write to mother angelica,0
what is an aunt once removed?,1
who designed the statue of liberty,1
what part is 5th ave new york in,0
who wrote second corinthians,1
who first synthesized heroin,1
what type of land is savannah,1
who set the world record for women for high jump,0
who did joan baez marry,1
what religion is primary in africa?,0
when did marlins start,0
What are the different translations for the Bible,0
what stops superman?,1
"what is a "" golden horus""",0
where did jefferson davis die,1
who plays the town sheriff on true blood,1
what is a google in math,0
what is a law degree called?,1
What is a 28 day cycle?,1
who make airbus,0
who wrote the song for star wars,1
what are there alpine skiing events,1
who created hair shampoo,0
what studio produced annie,1
what to see in malaysia,1
"When Adolf Hitler seized power in Germany prior to World War II, what title did he bestow on himself?",1
what are private labels,1
what part of florida is ray charles from,1
what state is ms the abbreviation for,1
Who created the Duomo in Florence?,1
who started the crusades,1
what are the imperial and metric systems of measurements,1
what makes of the united states,0
what are circumpolar constellations,1
who wrote the song hallelujah,1
what is a depolarizing and nondepolarizing agent,1
what years was the 18th century,0
what year was the eiffel tower made,1
what species is a spider,1
where does mike huckabee live,1
what is adoration catholic church,0
Where Elephants Live,0
what types of massage are good for sinus pressure,1
what songs does marc anthony sing in english,1
what is beer called without hops,1
where was last of the mohicans filmed,1
who is criminal minds director,0
where is humboldt ks,0
what is catcher in the rye about,1
what is the ingredient in mustard,0
WHAT IS PARESTHESIAS OF HANDS,1
who was morticia adams husband?,1
what is thermal heat,0
where were dwarves in lord of the rings,1
what is the population of san francisco,1
what is the acid in automobiles,0
what is the what by dave eggers,0
what was the city of Mithridates,0
what is the main language in india,1
what is north korea size,0
what is vienna sausage made of,1
where is the world's largest hydroelectric project,1
when was the telephone answering machine invented?,1
where is the t-bone on the cow,1
who is basketball star antoine walker,1
what is the input and what is the output of a function,1
what was fdr's new deal,1
what is going to be done with the orbiters?,1
what is the si unit of pressure,1
what is the great basin area,0
what is pippi longstocking about,1
what is the function of the liver,1
what is the formula for calcium nitrate,0
what is in a hot toddy,1
what is name of national anthem song of switzerland,1
what was the role of rio grande valley in the mexican american war and american civil war,0
who was at the late late show before craig ferguson,1
what is the color puce,1
what is psi in pressure,1
what is the meaning of white quartz,1
when was pokemon first started,1
who was queen elizabeth the II mother,1
what is the fundamental theorem of calculus used for,1
what is nicki minaj real name,1
where was lucy found,0
who is st patty?,0
what is the history of the coffee,0
who is coach of tennessee titans,1
what is the name of the puerto rico's national bird,1
who is hannibal lecter and what did he do,1
when was Mary Anderson born,1
what is stent surgery,1
what is the fighter about,0
where is the tibia location,0
what was mao cultural revolution,0
What is the prostate for?,1
when was the laser invented?,1
where is the sermon on the mount in the bible,1
Who is the home team in Super Bowl XLV,1
what is sado masochism,1
what is spongebob's real address,0
what is I2C I/F,1
what is the la tour de france,0
When was packet switching technology develop?,0
What is the temperature of the star Altair,1
what is doxycycline hyclate used for,1
what is sodium hypochlorite solution,1
what is in red bull,1
What was Frederick Douglass's wife's name,0
what is the diameter of the hole in a 45 record,0
what is h/o ETOH abuse?,1
what is eminem's record label,0
what is the comic where bane breaks batman's back,1
what is vanilla flavor used for,1
when was the tacoma bridge collapse?,1
what is brown flax,0
what is the little metal piece attached to my rim,0
what is our normal rate of tear production?,0
What Is DMT Drug,0
who is wwe star HHH married to?,1
what is the actresses name that played in walk that line?,0
What is Maurice White doing in 2010,0
what is the definition of a map,1
when was How the west was won filmed?,1
What is Oprah's network called now?,0
where is money made in the united states,0
when was the last la nina,0
what is the meaning of food/culinary knowledge,1
what is knee arthralgia,0
what is the type of military in rwanda?,0
where was martin luther king shot?,1
WHERE IS VILLAGE IN NEW YORK,0
what was 1933 like in the usa,1
what was Terah children name in the bible Abraham father,0
when was the model t made,0
what is disney town,0
where is La Palma africa,0
who was the rule of the aztec when cortes arrived in mexico,0
what is the size of an oil platform,0
where was hillary clinton born,1
what is the possibility that meteor would hit the moon in the next hundred years,0
where is kevin bacon from,1
what was the occupation of agatha christie's second husband,1
what is the type of democracy in which all citizens have the right to make  government decisions,0
who is the new bell what is the only european,0
Who is the transformers in transformers 3,0
where was the first real roller coaster,0
where was john f kennedy born,1
where is your colon and function,0
where was martin luther born,1
what was the first mario 3D game,1
who is not considered an eastern doctors of the church,1
what is an example of a chemical reaction that absorbs heat?,1
what is the temperature of mammoth cave,1
what is the measurements of saturn's moons,0
what is the size of the largest cannon ball,1
who is the founder of twitter,1
what is google openid,0
what is atherosclerotic heart disease,0
"what was not a component of the triangular trade system europe, the african colonies, and the smericans",0
what were 3 important things that douglas MacArthur did?,1
what is homebrew for wii,1
where are snakehead fish illegal,1
who are the parents of Jamie Lee Curtis,1
what is korean money called,1
what is the us system of measurement,1
who is emilio estevez related to,1
what is rebecca by daphne du maurier about,1
what is there to see in milton freewater OR,1
what is the size of a walrus penis bone,1
WHEN WERE SOUTHERN STATES READMITTED TO US,0
what is the latest season of psych,1
what is the main component of vaccines,1
who are all of the jonas brothers,0
what is ARM chipset,0
who is the youngest female to give birth world record,0
How are epithelial tissues joined together?,1
how long was i love lucy on the air,0
how did armando christian perez become famous,0
how old is youngest mother in the world,0
how much is an adult film actor paid,0
how did athenians make money,0
what bird family is the owl,1
how old do you have to be to get in the olympics,0
how does one get pancreatic cancer,0
How Many Judges of Israel,0
what happened to pink floyd,0
how many people were killed in the oklahoma city bombing,0
how many electrons can a 1.5 v battery with a capacity of 2.2 AH hold at full charge,0
how many xbox 360 games are there,0
how far inland os tehachapi california,0
how many types of sclerosis,0
how many planets is jupiter away from the sun?,0
what episode of different strokes was clarence clemons in,1
How does the hydrophobic and hydrophilic nature of the phospholipid layer regulate what enters and leaves the cell?,1
what happened on the moon during the period of Late Heavy Bombardment?,1
how many colors in the rainbow,0
what does the federal reserve do,1
how many times did abraham lincoln take the bar exam,0
what does a f 22 raptor cost,1
how many nature oceans are on earth,0
how many junior justices are in the supreme courts,0
how many times deeper is the pacific ocean than the arctic,0
what does a plus-minus sign mean,1
how much does christianity cover kenya,0
what causes dry drowning,1
"What county is Aurora, IN",0
what county is Holly Ridge nc in?,1
what forms seasons,0
how do people get color blindness?,1
what kind of literature did john steinbeck writing,0
what golf tournament did tiger woods first miss the cut as a professional,0
how is kristen stewart?,0
How is temperature determined?,1
how many people go to macarthur 2010,0
how long do lights stay on eiffel tower at night?,0
how is stoning performed,0
how many acts are in the scarlet letter,0
how many laws in judaism,0
how did he die outlaw billy the kid,0
what hormones produce thyroid,0
how the ku klux klan contributed to segregation,0
what guitar did joe bonamassa use to record had to cry today,0
how did James Dean die?,0
how do you measure temperature on electrical equipment,0
what colors are in a rainbow,1
what colony did france 1900,0
what kind of integrity is enforced when a primary key is declared,1
How Works Diaphragm Pump,0
what days are smackdown on,0
what country took over ireland,0
how many different energy drinks are sold in the u.s,0
how many consumers of pharmaceuticals,0
how much mercury is in a thermometer,0
what kind of company is Microsoft?,1
how many kids does erykah badu have,0
where does the name platte come from?,1
Who should the democrats vote for on 11/2/10,0
where does limestone form,1
who discovered neptune the planet,1
when did freddie mercury die,1
when did the lutheran church began,1
what are all the cities in orange county ca,1
what tensions preceded the berlin blockade,1
who sang proud mary,1
Where did the name sheetrock come from,1
where did the name glen burnie come from,1
what are the three primary colors in the subtractive color model,1
what is 6 pin din connector,1
what are the uses for gui,0
what are banana plugs for,1
when did the trojan war take place,1
what part of canada did slaves run away to?,0
when does a solution crystallize?,1
what money is jefferson on,0
when did steven adler play for guns and roses,1
what year was elvis born,1
what are the arb medications,0
"what part of the earth is covered with water 1/4,1/3,3/4?",0
what religion is westminster abbey,1
what are stanzas in poetry,1
what percent of women have no complications giving birth?,1
what are the pulmonary alveolar cells,0
who played danny zuko in the original grease,1
Who elects the Board of Directors and what are their responsibilities,0
who won the 2010 world cup,0
what part of the plant are avocados,0
what are the roles that mouth,0
when did intel build in costa rica,0
who plays rosie in mamma mia,1
who starred in the original true grit,1
where scottsdale?,0
who had the social contract theory,0
where did the tradition of leaving a sock come from,1
what year did john adams become  president?,1
what year did J.F. Rutherford die,1
who shot 50 cent,0
when did george washington died?,1
what is a wiki platform,0
who plays dumbledore in harry potter 6,1
who made the roller skates,1
what towns are near to great falls south carolina,1
when did Emperor Justinian die,1
what song did ricky martin sing at the grammy awards,1
what mountains are on appalachian trail,1
when did fidel castro take over cuba,1
when did scott pilgrim come out,1
what season is  dexter on,0
who won the 1998 world cup,1
what kind of people are on the show skins,1
who coined the term bucket list,1
where did sharecroppers get their last name,0
What party describes a candidate that focuses on creating new social patterns or values with direct government action,0
where do sesame seeds come from,1
where did the olmecs come from,1
what state is milwaukee in,0
what are the charges against Casey Anthony,1
what organic molecules are found in cottage cheese,1
when will inuyasha the final act be dub,0
what are SLR cameras,0
what is the scientific name of the eastern tiger salamander?,1
what is the point or the qwerty,0
when was the web invented,1
who is on a dime,0
where is andy whitfield from?,1
what is the formula for the phosphate ion?,1
when was kirstie alley on cheers,1
what was mexico's original capital,0
what is the cabin pressure of us airlines,0
where are the archipelago islands,0
what is STPP model strategy in public relation  stands for  what,0
"where is Shelton Benjamin, WWE",0
what is the significance of the headwear of a saudi prince,0
when is father's day 2010 in the USA?,0
who is amy poehler married to,1
when were the jews removed from the promised land,0
what is fastest ethernet hub,0
what was the parthenon used for,1
what is zoom range,0
what is baklava recipe,0
who is carlos pena on big time rush,0
where is the arctic circle located on the earth,1
where are colors on stoplight,0
what is the frequency of seizures,0
who is it that hangs himself in shawshank redemption,0
what was the GE building in rockefeller plaza called before.,0
What is D Application in code blocks,0
what is ron weasley's sister's name,0
WHO WAS IN THE MOVIE I CONFESS WITH MONTGOMERY CLIFT,0
where was merle haggard born?,1
what is article 5 about,1
"What is the name of the Norwegian who is known as the ""father of modern skiing,"" being responsible for Telemark skiing",1
when were 4g wireless networks launched in the United States?,1
what is the country of Ecuador known as?,0
what is dominican republic's most important natural resource,0
when was pearl harbor bombed,1
what is associates arts degree,0
"What was Captain Ahab's Ship in the novel ""Moby Dick""",0
what is linkedin used for,1
what is the role of the amygdala,0
where is rashard lewis from???,0
What is on a grocery store,0
what is contemporary period based on,0
what was the warm temperature in the most northern area of canada?,0
where is the world cup in 2010,0
what is mepsipax,0
what is jagger bombs,0
what is flex 3,0
when was the first census of all 50 states,0
what is the difference between alpha lipoic acid and lipoic acid,1
when was library of congress built,1
what is gravy made of,1
what is the movie when jennifer love hewitt cooks,0
What is the the North American Free Trade Agreement?,0
When was 27th amendment proposed,1
who is in The school of athens,0
where was paul revere born,0
what is float format,0
what is the storage capacity of a floppy disk,1
where are the jonas brothers right now,0
who are the parents of anguilla,0
what is bilirubin total,1
where is ccr from,0
what is the average wear time for braces,1
what is three phase electrical,0
what is disney's magic kingdom,1
when is the next national election?,1
what is the name of chris cornell's band?,1
what is global warming not caused by,0
what is raid 1+0,1
What is St. Lucia Known for?,0
